top_k	condition	matched_panel	count	fraction	source
1	gaze_top1	1	57	0.019076305220883535	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/judgments.jsonl
1	gaze_top1	2	2448	0.8192771084337349	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/judgments.jsonl
1	gaze_top1	3	187	0.06258366800535475	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/judgments.jsonl
1	gaze_top1	4	28	0.009370816599732263	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/judgments.jsonl
1	gaze_top1	5	262	0.08768406961178045	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/judgments.jsonl
1	gaze_top1	6	6	0.002008032128514056	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/judgments.jsonl
1	non_gaze_1	1	35	0.011929107021131561	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/judgments.jsonl
1	non_gaze_1	2	2417	0.823790047716428	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/judgments.jsonl
1	non_gaze_1	3	181	0.06169052488070893	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/judgments.jsonl
1	non_gaze_1	4	23	0.007839127471029312	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/judgments.jsonl
1	non_gaze_1	5	272	0.09270620313565099	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/judgments.jsonl
1	non_gaze_1	6	6	0.002044989775051125	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/judgments.jsonl
5	gaze_top5	1	385	0.1290646999664767	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/judgments.jsonl
5	gaze_top5	2	2040	0.6838752933288635	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/judgments.jsonl
5	gaze_top5	3	178	0.05967147167281261	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/judgments.jsonl
5	gaze_top5	4	55	0.01843781428092524	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/judgments.jsonl
5	gaze_top5	5	309	0.10358699296010727	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/judgments.jsonl
5	gaze_top5	6	16	0.0053637277908146165	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/judgments.jsonl
5	non_gaze_5	1	197	0.06769759450171821	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/judgments.jsonl
5	non_gaze_5	2	1996	0.6859106529209622	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/judgments.jsonl
5	non_gaze_5	3	177	0.060824742268041236	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/judgments.jsonl
5	non_gaze_5	4	132	0.04536082474226804	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/judgments.jsonl
