condition	seed	description_prompt_variant	answer_prompt_variant	answer_mode	answer_include_image	n	accuracy	bias_aligned_fraction	bias_aligned_error_rate	error_rate
direct_original_image_again_seed0	0	direct	original	image_again	True	400	0.140000	0.325000	0.377907	0.860000
direct_original_description_only_seed0	0	direct	original	description_only	False	400	0.042500	0.095000	0.099217	0.957500
original_original_image_again_seed0	0	original	original	image_again	True	400	0.115000	0.247500	0.279661	0.885000
original_original_description_only_seed0	0	original	original	description_only	False	400	0.020000	0.020000	0.020408	0.980000
counterfactual_original_image_again_seed0	0	counterfactual	original	image_again	True	400	0.120000	0.225000	0.255682	0.880000
counterfactual_original_description_only_seed0	0	counterfactual	original	description_only	False	400	0.027500	0.022500	0.023136	0.972500
structured_original_image_again_seed0	0	structured	original	image_again	True	400	0.115000	0.247500	0.279661	0.885000
structured_original_description_only_seed0	0	structured	original	description_only	False	400	0.022500	0.020000	0.020460	0.977500
verification_original_image_again_seed0	0	verification	original	image_again	True	400	0.120000	0.230000	0.261364	0.880000
verification_original_description_only_seed0	0	verification	original	description_only	False	400	0.027500	0.030000	0.030848	0.972500
direct_original_image_again_seed1	1	direct	original	image_again	True	400	0.132500	0.307500	0.354467	0.867500
direct_original_description_only_seed1	1	direct	original	description_only	False	400	0.045000	0.070000	0.073298	0.955000
original_original_image_again_seed1	1	original	original	image_again	True	400	0.117500	0.247500	0.280453	0.882500
original_original_description_only_seed1	1	original	original	description_only	False	400	0.015000	0.022500	0.022843	0.985000
counterfactual_original_image_again_seed1	1	counterfactual	original	image_again	True	400	0.117500	0.232500	0.263456	0.882500
counterfactual_original_description_only_seed1	1	counterfactual	original	description_only	False	400	0.020000	0.037500	0.038265	0.980000
structured_original_image_again_seed1	1	structured	original	image_again	True	400	0.122500	0.240000	0.273504	0.877500
structured_original_description_only_seed1	1	structured	original	description_only	False	400	0.015000	0.027500	0.027919	0.985000
verification_original_image_again_seed1	1	verification	original	image_again	True	400	0.120000	0.240000	0.272727	0.880000
verification_original_description_only_seed1	1	verification	original	description_only	False	400	0.027500	0.027500	0.028278	0.972500
direct_original_image_again_seed2	2	direct	original	image_again	True	400	0.137500	0.320000	0.371014	0.862500
direct_original_description_only_seed2	2	direct	original	description_only	False	400	0.047500	0.055000	0.057743	0.952500
original_original_image_again_seed2	2	original	original	image_again	True	400	0.122500	0.245000	0.279202	0.877500
original_original_description_only_seed2	2	original	original	description_only	False	400	0.017500	0.027500	0.027990	0.982500
counterfactual_original_image_again_seed2	2	counterfactual	original	image_again	True	400	0.115000	0.230000	0.259887	0.885000
counterfactual_original_description_only_seed2	2	counterfactual	original	description_only	False	400	0.022500	0.027500	0.028133	0.977500
structured_original_image_again_seed2	2	structured	original	image_again	True	400	0.127500	0.242500	0.277937	0.872500
structured_original_description_only_seed2	2	structured	original	description_only	False	400	0.017500	0.025000	0.025445	0.982500
verification_original_image_again_seed2	2	verification	original	image_again	True	400	0.115000	0.227500	0.257062	0.885000
verification_original_description_only_seed2	2	verification	original	description_only	False	400	0.020000	0.027500	0.028061	0.980000
direct_original_image_again_seed3	3	direct	original	image_again	True	400	0.150000	0.327500	0.385294	0.850000
direct_original_description_only_seed3	3	direct	original	description_only	False	400	0.057500	0.067500	0.071618	0.942500
original_original_image_again_seed3	3	original	original	image_again	True	400	0.127500	0.252500	0.289398	0.872500
original_original_description_only_seed3	3	original	original	description_only	False	400	0.020000	0.022500	0.022959	0.980000
counterfactual_original_image_again_seed3	3	counterfactual	original	image_again	True	400	0.122500	0.230000	0.262108	0.877500
counterfactual_original_description_only_seed3	3	counterfactual	original	description_only	False	400	0.017500	0.022500	0.022901	0.982500
structured_original_image_again_seed3	3	structured	original	image_again	True	400	0.127500	0.252500	0.289398	0.872500
structured_original_description_only_seed3	3	structured	original	description_only	False	400	0.020000	0.022500	0.022959	0.980000
verification_original_image_again_seed3	3	verification	original	image_again	True	400	0.125000	0.235000	0.268571	0.875000
verification_original_description_only_seed3	3	verification	original	description_only	False	400	0.020000	0.030000	0.030612	0.980000
direct_original_image_again_seed4	4	direct	original	image_again	True	400	0.157500	0.312500	0.370920	0.842500
direct_original_description_only_seed4	4	direct	original	description_only	False	400	0.042500	0.070000	0.073107	0.957500
original_original_image_again_seed4	4	original	original	image_again	True	400	0.117500	0.255000	0.288952	0.882500
original_original_description_only_seed4	4	original	original	description_only	False	400	0.017500	0.015000	0.015267	0.982500
counterfactual_original_image_again_seed4	4	counterfactual	original	image_again	True	400	0.112500	0.247500	0.278873	0.887500
counterfactual_original_description_only_seed4	4	counterfactual	original	description_only	False	400	0.015000	0.022500	0.022843	0.985000
structured_original_image_again_seed4	4	structured	original	image_again	True	400	0.127500	0.245000	0.280802	0.872500
structured_original_description_only_seed4	4	structured	original	description_only	False	400	0.015000	0.015000	0.015228	0.985000
verification_original_image_again_seed4	4	verification	original	image_again	True	400	0.120000	0.222500	0.252841	0.880000
verification_original_description_only_seed4	4	verification	original	description_only	False	400	0.022500	0.017500	0.017903	0.977500
