top_k	condition	target_panel	accuracy	ci_low	ci_high	n	source
1	gaze_top1	1	0.024	0.012	0.038	500	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/aggregate_results.json
1	gaze_top1	2	0.814	0.78	0.848	500	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/aggregate_results.json
1	gaze_top1	3	0.062	0.042	0.084	500	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/aggregate_results.json
1	gaze_top1	4	0.008	0.002	0.016	500	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/aggregate_results.json
1	gaze_top1	5	0.088	0.064	0.114	500	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/aggregate_results.json
1	gaze_top1	6	0.002	0.0	0.006	500	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/aggregate_results.json
1	non_gaze_1	1	0.012	0.004	0.022	500	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/aggregate_results.json
1	non_gaze_1	2	0.806	0.77	0.84	500	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/aggregate_results.json
1	non_gaze_1	3	0.06	0.04	0.082	500	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/aggregate_results.json
1	non_gaze_1	4	0.006	0.0	0.014	500	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/aggregate_results.json
1	non_gaze_1	5	0.09	0.066	0.116	500	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/aggregate_results.json
1	non_gaze_1	6	0.002	0.0	0.006	500	segments/gaze_heads_qwen25/runs/static_narration_top1_merged_0_500/qwen_judge/aggregate_results.json
5	gaze_top5	1	0.138	0.108	0.168	500	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/aggregate_results.json
5	gaze_top5	2	0.616	0.574	0.658	500	segments/gaze_heads_qwen25/runs/static_narration_top5_merged_0_500/qwen_judge/aggregate_results.json
