benchmark	condition	seed	attention_alpha	top_k_gaze	is_baseline	Acc	Q_Acc	I_Acc	G_Acc	mean_image_attention_mass	mean_boosted_layer_image_attention_mass	mean_boosted_head_image_attention_mass	out_path
naturalbench	baseline	0	0.000000	0	True	0.547500	0.280000	0.115000	0.010000	0.070083			segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_baseline_seed0.jsonl
naturalbench	gaze_top1_alpha0p25	0	0.250000	1	False	0.552500	0.285000	0.125000	0.020000	0.070145	0.103761	0.807757	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top1_alpha0p25_seed0.jsonl
naturalbench	gaze_top5_alpha0p25	0	0.250000	5	False	0.547500	0.285000	0.120000	0.020000	0.070612	0.109890	0.356597	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top5_alpha0p25_seed0.jsonl
naturalbench	gaze_top10_alpha0p25	0	0.250000	10	False	0.550000	0.280000	0.125000	0.010000	0.070866	0.120138	0.343747	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha0p25_seed0.jsonl
naturalbench	gaze_top20_alpha0p25	0	0.250000	20	False	0.547500	0.280000	0.120000	0.010000	0.071513	0.109942	0.314247	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha0p25_seed0.jsonl
naturalbench	gaze_top1_alpha0p5	0	0.500000	1	False	0.557500	0.295000	0.130000	0.020000	0.070207	0.105393	0.835927	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top1_alpha0p5_seed0.jsonl
naturalbench	gaze_top5_alpha0p5	0	0.500000	5	False	0.552500	0.280000	0.120000	0.020000	0.070743	0.111461	0.390995	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top5_alpha0p5_seed0.jsonl
naturalbench	gaze_top10_alpha0p5	0	0.500000	10	False	0.552500	0.285000	0.125000	0.020000	0.071547	0.123606	0.382610	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha0p5_seed0.jsonl
naturalbench	gaze_top20_alpha0p5	0	0.500000	20	False	0.542500	0.270000	0.115000	0.010000	0.072653	0.115158	0.351770	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha0p5_seed0.jsonl
naturalbench	gaze_top1_alpha1	0	1.000000	1	False	0.557500	0.290000	0.130000	0.020000	0.070372	0.108472	0.885601	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top1_alpha1_seed0.jsonl
